X,Y,OBJECTID,ABCDMisc,ADSPermissionState,CalculatedAcres,ContainmentDateTime,ControlDateTime,CreatedOnDateTime,DailyAcres,DiscoveryAcres,DispatchCenterID,FinalFireReportApprovedByTitle,FinalFireReportApprovedByUnit,FinalFireReportApprovedDate,FireBehaviorGeneral,FireBehaviorGeneral1,FireBehaviorGeneral2,FireBehaviorGeneral3,FireCause,FireCauseGeneral,FireCauseSpecific,FireCode,FireDepartmentID,FireDiscoveryDateTime,FireMgmtComplexity,FireOutDateTime,FireStrategyConfinePercent,FireStrategyFullSuppPercent,FireStrategyMonitorPercent,FireStrategyPointZonePercent,FSJobCode,FSOverrideCode,GACC,ICS209ReportDateTime,ICS209ReportForTimePeriodFrom,ICS209ReportForTimePeriodTo,ICS209ReportStatus,IncidentManagementOrganization,IncidentName,IncidentShortDescription,IncidentTypeCategory,IncidentTypeKind,InitialLatitude,InitialLongitude,InitialResponseAcres,InitialResponseDateTime,IrwinID,IsFireCauseInvestigated,IsFireCodeRequested,IsFSAssisted,IsMultiJurisdictional,IsQuarantined,IsReimbursable,IsTrespass,IsUnifiedCommand,IsValid,LocalIncidentIdentifier,ModifiedOnDateTime,PercentContained,PercentPerimeterToBeContained,POOCity,POOCounty,POODispatchCenterID,POOFips,POOJurisdictionalAgency,POOJurisdictionalUnit,POOJurisdictionalUnitParentUnit,POOLandownerCategory,POOLandownerKind,POOLegalDescPrincipalMeridian,POOLegalDescQtr,POOLegalDescQtrQtr,POOLegalDescRange,POOLegalDescSection,POOLegalDescTownship,POOPredictiveServiceAreaID,POOProtectingAgency,POOProtectingUnit,POOState,PredominantFuelGroup,PredominantFuelModel,PrimaryFuelModel,SecondaryFuelModel,TotalIncidentPersonnel,UniqueFireIdentifier,WFDSSDecisionStatus,CreatedBySystem,ModifiedBySystem,CreatedOn,ModifiedOn,IsDispatchComplete,OrganizationalAssessment,StrategicDecisionPublishDate,GlobalID,ModifiedOnDateTime_dt,CreatedOnDateTime_dt
-113.2921,47.07235,135942,,DEFAULT,,,,1568730581740,190,1,MTMDC,,,,,,,,Human,,,,,2019/09/17 14:28:57,,,,,,,,,NRCC,,,,,,Good Time Timber Sale Piles,,RX,FI,47.07235,-113.2921,20,,{F9CA1408-6595-42B2-B021-C042C4AB1A2D},,0,0,0,0,0,0,,1,002127,1601662659610,,,,Powell,MTMDC,30077,DNRC,MTSWS,,,,,,,,,,NR08,DNRC,MTSWS,US-MT,,,,,,2019-MTSWS-002127,No Decision,wildcad,wildcad,2019/09/17 14:29:41,2019/10/01 23:06:25,0,,,{7F1B7613-A291-4708-BCE4-5843DBFFF323},2020/10/02 18:17:39,2019/09/17 14:29:41
-115.4616,47.61447,136130,,DEFAULT,,,,1568829122870,165,1,MTMDC,,,,,,,,Human,,,,,2019/09/16 14:33:01,,,,,,,,,NRCC,,,,,,Clear Creek - Unit 30,,RX,FI,47.61445,-115.462,15,,{721616B4-EBA8-4BBD-A1AB-5AE14C8BB466},,0,0,0,0,0,0,,1,002115,1601662559963,,,,Sanders,MTMDC,30089,FS,MTLNF,,,,,,,,,,NR04,FS,MTLNF,US-MT,,,,,,2019-MTLNF-002115,No Decision,wildcad,wildcad,2019/09/18 17:52:02,2019/10/08 22:51:14,0,,,{62B02D35-72CD-4B6A-AB1C-8BC3D0183736},2020/10/02 18:15:59,2019/09/18 17:52:02
-114.6898,47.36835,136742,,DEFAULT,,,,1569418564737,600,1,MTMDC,,,,,,,,Human,,,,,2019/09/23 16:56:41,,,,,,,,,NRCC,,,,,,Knowles Creek #7,,RX,FI,47.36835,-114.6898,600,,{B402BFBF-C847-42D3-88DB-08682613B5A9},,0,1,0,0,0,0,,1,002186,1601662883410,,,,Sanders,MTFHA,30089,FS,MTLNF,,,,,,,,,,NR04,FS,MTLNF,US-MT,,,,,,2019-MTLNF-002186,No Decision,wildcad,wildcad,2019/09/25 13:36:04,2019/09/25 23:28:57,0,,,{233450F2-9702-4813-9D27-37DAE63A58DF},2020/10/02 18:21:23,2019/09/25 13:36:04
-114.8523,47.16828,137182,,DEFAULT,,,,1569854467647,351,1,MTMDC,,,,,,,,Human,,,,,2019/09/30 14:37:56,,,,,,,,,NRCC,,,,,,Camp Four,,RX,FI,47.18545,-114.8322,70,,{9F0892F9-C291-4A0F-803B-C89AB9FD1510},,0,0,0,0,0,0,,1,002240,1601663093030,,,,Mineral,MTMDC,30061,FS,MTMTS,,,,,,,,,,NR04,FS,MTLNF,US-MT,,,,,,2019-MTLNF-002240,No Decision,wildcad,wildcad,2019/09/30 14:41:07,2019/11/20 22:39:49,0,,,{A8F26CB1-ABB8-4B6E-B5CB-027167E31057},2020/10/02 18:24:53,2019/09/30 14:41:07
-119.7819,48.56909,143609,,DEFAULT,,,,1578604562117,1,1,WANEC,,,,,,,,Unknown,,,,,2020/01/09 21:04:23,,,,,,,,,NWCC,,,,,,BLM RX - MINERAL HILL LANDINGS,,RX,FI,48.56909,-119.7819,,,{B861EBF2-CB7A-4D02-96B1-F07183CB3592},,0,0,0,0,0,0,,1,001050,1602439153940,,,,Okanogan,WANEC,53047,BLM,WASPD,,,,,,,,,,NW08,BLM,WASPD,US-WA,,,,,,2020-WASPD-001050,No Decision,wildcad,wildcad,2020/01/09 21:16:02,2020/01/09 21:16:02,0,,,{7491EE76-440F-4472-BBBF-6D90F653919E},2020/10/11 17:59:13,2020/01/09 21:16:02
-121.4951,43.60958,143655,,DEFAULT,,,,1578675642860,68,1,ORCOC,,,,,,,,Unknown,,,,,2020/01/10 17:00:07,,,,,,,,,NWCC,,,,,,RIVERS SPRING PILES 0016 RS,,RX,FI,43.60958,-121.4951,,,{2885A28F-72E3-4EA1-ABAA-7913273C5725},,0,0,0,0,0,0,,1,000016,1602010103813,,,,Klamath,ORCOC,41035,BLM,ORPRD,,,,,,,,,,NW07,BLM,ORPRD,US-OR,,,,,,2020-ORPRD-000016,No Decision,wildcad,wildcad,2020/01/10 17:00:42,2020/01/10 19:41:51,0,,,{1CB2A780-3769-47B8-814E-C3CDEF2BCBEC},2020/10/06 18:48:23,2020/01/10 17:00:42
-122.329333,41.448067,147387,,DEFAULT,,,,1579103196220,0.1,0.1,CAYICC,,,,,,,,Unknown,Investigated but Undetermined,,MZ0U,,2020/01/15 15:46:30,,,,,,,,,ONCC,,,,,,RAILROAD,,WF,FI,41.448067,-122.329333,,,{B2B5979C-DDD4-4D15-ABF9-5347426B66B0},,0,,,0,,,,1,000387,1602373994223,,,,Siskiyou,CAYICC,06093,,CASHF,,USFS,Federal,,,,,,,NC06,,CASKU,US-CA,,,,,,2020-CASKU-000387,No Decision,cfcad,INFORM_Inspector,,,,,,{1735747F-82AD-4256-828F-07A7C2839268},2020/10/10 23:53:14,2020/01/15 15:46:36
-92.5516,36.09772,147604,,DEFAULT,,,,1582996070780,560,,ARAOC,,,,,,,,Unknown,,,,,2020/02/29 17:06:45,,,,,,,,,SACC,,,,,,Toney Bend ,,RX,FI,36.09772,-92.5516,575,,{C43D5A2F-E866-484B-8911-5D1C98056EFD},,0,0,0,0,0,0,,1,000250,1601323168403,,,,Marion,ARAOC,05089,NPS,ARBUP,,,,,,,,,,SA17B,NPS,ARBUP,US-AR,,,,,,2020-ARBUP-000250,No Decision,wildcad,wildcad,,,,,,{C3B7A325-E17A-4C51-91CB-1AC34D064B9B},2020/09/28 19:59:28,2020/02/29 17:07:50
-108.3803,38.94071,148327,,DEFAULT,,,,1583536249287,0.1,0.1,COGJC,,,,,,,,Unknown,Debris/Open Burning,,M0UM,,2020/03/06 23:03:59,,,,,,,PN,1502,RMCC,,,,,,Reeder Mesa,,WF,FI,38.954167,-108.3433,,2020/03/06 23:03:59,{73621F8A-D6A4-4303-9F50-8173DD890EAA},,0,1,0,0,0,0,,1,000016,1602434545617,,,,Mesa,COGJC,08077,BLM,COGJD,,Private,Private,,,,,,,RM26,C&L,COMEX,US-CO,Grass,GR2,,,,2020-COMEX-000016,No Decision,wildcad,wildcad,,,,,,{209C3B47-7320-4B22-8C38-D876EB336FD7},2020/10/11 16:42:25,2020/03/06 23:10:49
-92.58659,36.08382,149617,,DEFAULT,,,,1582377582433,476,,ARAOC,,,,,,,,Unknown,,,,,2020/02/22 13:17:47,,,,,,,,,SACC,,,,,,Mull RX,,RX,FI,36.08382,-92.58659,492,,{A6E2CE27-148D-4932-9CFF-BFCE895B6A7F},,0,0,0,0,0,0,,1,000179,1601323376453,,,,Marion,ARAOC,05089,NPS,ARBUP,,,,,,,,,,SA17B,NPS,ARBUP,US-AR,,,,,,2020-ARBUP-000179,No Decision,wildcad,wildcad,,,,,,{3C54F759-1121-4723-AB17-70A83FE7FC8A},2020/09/28 20:02:56,2020/02/22 13:19:42
